,P1x,P1y,P2x,P2y
galho de árvore_112.jpeg,129,51,185,115
tree branch_91.jpeg,195,452,242,464
tree branch_47.jpeg,247,106,366,135
tree branch_249.jpeg,72,365,173,445
tree branch_106.jpeg,307,11,371,86
galho_272.jpeg,241,304,279,450
tree branch_240.png,193,94,237,152
galho_283.jpeg,109,260,158,292
galho_114.jpeg,288,358,223,468
galho_177.png,329,123,443,335
galho de árvore_85.jpeg,98,48,172,185
tree branch_206.jpeg,183,385,235,488
tree branch_285.jpeg,189,213,293,256
galho de árvore_152.jpeg,166,307,255,406
galho_243.jpeg,166,228,337,290
tree branch_70.png,18,103,77,178
tree branch_92.jpeg,288,219,412,271
tree branch_161.jpeg,71,115,372,367
galho de árvore_143.jpeg,122,125,215,307
galho de árvore_284.jpeg,250,202,340,284
galho de árvore_246.jpeg,273,194,388,309
galho de árvore_80.jpeg,257,216,357,327
tree branch_214.png,387,247,501,338
galho de árvore_194.jpeg,10,330,116,389
galho de árvore_135.png,189,307,279,400
tree branch_164.jpeg,27,119,491,466
galho de árvore_111.jpeg,221,214,355,283
galho_6.jpeg,224,314,284,462
galho_106.jpeg,110,67,457,482
tree branch_115.jpeg,22,290,241,419
tree branch_175.jpeg,288,396,352,445
galho_4.jpeg,170,52,469,209
tree branch_185.jpeg,5,142,175,243
galho de árvore_237.jpeg,27,194,274,490
tree branch_278.jpeg,119,212,445,317
galho de árvore_22.jpeg,312,385,384,448
galho de árvore_68.jpeg,36,269,168,343
galho_49.png,56,268,333,440
tree branch_256.jpeg,2,14,508,437
galho_182.jpeg,29,249,270,506
galho de árvore_36.png,45,184,404,492
tree branch_153.jpeg,64,63,468,318
tree branch_45.jpeg,74,193,421,473
galho de árvore_130.jpeg,23,47,346,328
galho_7.jpeg,307,76,461,463
tree branch_198.jpeg,46,107,478,454
tree branch_216.jpeg,265,174,499,419
tree branch_108.jpeg,56,147,382,443
galho_137.png,36,214,404,459
